index,name,birth,club,joined_date,place_of_birth,number,height,weight,position
437,Nehuen Perez,2000-06-24,Argentina,2022-07-29,Argentina,18,185,75,Defender
438,Nicolas Otamendi,1988-02-12,Argentina,2020-09-27,Argentina,30,183,81,Defender
439,Nicolas Tagliafico,1992-08-31,Argentina,2022-07-23,Argentina,3,172,65,Defender
440,Angel Correa,1995-03-09,Argentina,2015-07-10,Argentina,10,171,70,Forward
441,Joaquin Correa,1994-08-13,Argentina,2022-07-01,Argentina,11,189,75,Forward
442,Julian Alvarez,2000-01-31,Argentina,2022-01-30,Argentina,19,170,71,Forward
443,Lautaro Martinez,1997-08-22,Argentina,2018-07-01,Argentina,10,174,72,Forward
444,Lionel Messi,1987-06-24,Argentina,2021-08-10,Argentina,30,170,72,Forward
445,Nicolas Gonzalez,1998-04-06,Argentina,2021-07-01,Argentina,22,180,72,Forward
446,Paulo Dybala,1993-11-15,Argentina,2022-07-20,Argentina,21,177,75,Forward
447,Emiliano Martinez,1992-09-02,Argentina,2020-09-16,Argentina,1,195,88,Goalkeeper
448,Franco Armani,1986-10-16,Argentina,2018-05-14,Argentina,Unknown,189,88,Goalkeeper
449,Geronimo Rulli,1992-05-20,Argentina,2020-09-05,Argentina,13,189,84,Goalkeeper
450,Juan Musso,1994-05-06,Argentina,2021-07-02,Argentina,1,191,93,Goalkeeper
451,Alexis Mac Allister,1998-12-24,Argentina,2019-01-24,Argentina,10,176,72,Midfielder
452,Angel Di Maria,1988-02-14,Argentina,2022-07-08,Argentina,22,180,75,Midfielder
453,Exequiel Palacios,1998-10-05,Argentina,2020-01-01,Argentina,25,177,67,Midfielder
454,Giovani Lo Celso,1996-04-09,Argentina,2022-08-14,Argentina,17,177,68,Midfielder
455,Guido Rodriguez,1994-04-12,Argentina,2020-01-14,Argentina,5,185,78,Midfielder
456,Alejandro Gomez,1988-02-15,Argentina,2021-01-26,Argentina,24,167,68,Midfielder
457,Rodrigo de Paul,1994-05-24,Argentina,2021-07-12,Argentina,5,180,70,Midfielder
458,Cesar Montes,1997-02-24,Mexico,2017-06-10,Mexico,Unknown,191,70,Defender
459,Emilio Lara,2002-05-18,Mexico,2021-12-06,Mexico,Unknown,167,45,Defender
460,Israel Reyes,2000-05-23,Mexico,2021-12-06,Mexico,Unknown,178,73,Defender
461,Jesus Angulo,1998-01-30,Mexico,2018-08-30,Mexico,Unknown,178,73,Defender
462,Kevin Alvarez,1999-01-15,Mexico,2022-04-21,Mexico,Unknown,175,63,Defender
463,Luis Reyes,1991-04-03,Mexico,2015-01-01,Mexico,Unknown,172,70,Defender
464,Alexis Vega,1997-11-25,Mexico,2019-03-15,Mexico,Unknown,175,72,Forward
465,Angel Zaldivar,1994-02-08,Mexico,2016-08-25,Mexico,Unknown,174,68,Forward
466,Eduardo Aguirre,1998-08-03,Mexico,2021-06-20,Mexico,Unknown,176,65,Forward
467,Erick Sanchez,1999-09-27,Mexico,2021-07-01,Mexico,Unknown,167,60,Forward
468,Roberto Alvarado,1998-09-07,Mexico,2018-08-30,Mexico,Unknown,176,58,Forward
469,Uriel Antuna,1997-08-21,Mexico,2017-11-01,Mexico,Unknown,167,59,Forward
470,Carlos Acevedo,1996-04-19,Mexico,2021-12-06,Mexico,Unknown,182,68,Goalkeeper
471,Luis Malagon,1997-03-02,Mexico,2021-06-20,Mexico,Unknown,180,73,Goalkeeper
472,Carlos Rodriguez,1997-01-03,Mexico,2019-03-15,Mexico,Unknown,170,66,Midfielder
473,Fernando Beltran,1998-05-08,Mexico,2020-09-24,Mexico,Unknown,165,66,Midfielder
474,Jesus Gallardo,1994-08-15,Mexico,2016-10-01,Mexico,Unknown,177,68,Midfielder
475,Luis Chavez,1996-01-15,Mexico,2020-09-24,Mexico,Unknown,178,73,Midfielder
476,Luis Romo,1995-06-05,Mexico,2019-09-27,Mexico,Unknown,180,84,Midfielder
477,Rodolfo Pizarro,1994-02-15,Mexico,2014-01-01,Mexico,Unknown,177,65,Midfielder
478,Cristian Zapata,1986-09-30,Colombia,2019-07-02,Colombia,2,187,82,Defender
479,Davinson Sanchez,1996-06-12,Colombia,2017-08-18,Colombia,6,187,81,Defender
480,Farid Diaz,1983-07-20,Colombia,2016-03-17,Colombia,18,168,70,Defender
481,Johan Mojica,1992-08-21,Colombia,2022-09-01,Colombia,12,185,66,Defender
482,Oscar Murillo,1988-04-18,Colombia,2016-03-17,Colombia,Unknown,184,82,Defender
483,Santiago Arias,1992-01-13,Colombia,2018-07-31,Colombia,Unknown,178,72,Defender
484,Yerry Mina,1994-09-23,Colombia,2018-08-09,Colombia,13,195,94,Defender
485,Carlos Bacca,1986-09-08,Colombia,2021-07-13,Colombia,20,181,77,Forward
486,Jose Izquierdo,1992-07-07,Colombia,2021-08-31,Colombia,21,171,73,Forward
487,Luis Muriel,1991-04-16,Colombia,2019-07-01,Colombia,9,179,79,Forward
488,Miguel Borja,1993-01-26,Colombia,2016-11-04,Colombia,Unknown,183,87,Forward
489,Falcao,1986-02-10,Colombia,2021-09-04,Colombia,9,177,72,Forward
490,Camilo Vargas,1989-03-09,Colombia,2013-03-01,Colombia,Unknown,185,81,Goalkeeper
491,David Ospina,1988-08-31,Colombia,2019-07-01,Colombia,25,183,80,Goalkeeper
492,Jose Cuadrado,1985-06-01,Colombia,2014-10-03,Colombia,22,181,80,Goalkeeper
493,Abel Aguilar,1985-01-06,Colombia,2002-08-01,Colombia,8,185,82,Midfielder
494,Carlos Sanchez,1986-02-06,Colombia,2018-08-09,Colombia,15,182,80,Midfielder
495,James Rodriguez,1991-07-12,Colombia,2020-09-07,Colombia,19,180,75,Midfielder
496,Jefferson Lerma,1994-10-25,Colombia,2018-08-07,Colombia,8,179,70,Midfielder
497,Juan Cuadrado,1988-05-26,Colombia,2017-05-23,Colombia,11,179,72,Midfielder
498,Juan Quintero,1993-01-18,Colombia,2013-03-14,Colombia,Unknown,168,67,Midfielder
499,Andres Uribe,1991-03-21,Colombia,2019-08-05,Colombia,8,182,71,Midfielder
500,Wilmar Barrios,1993-10-16,Colombia,2019-02-01,Colombia,5,178,72,Midfielder
501,Alberto Rodriguez,1984-03-31,Peru,2003-01-01,Peru,2,182,78,Defender
502,Aldo Corzo,1989-05-20,Peru,2009-02-01,Peru,Unknown,175,73,Defender
503,Christian Ramos,1988-11-04,Peru,2008-10-01,Peru,Unknown,185,74,Defender
504,Luis Advincula,1990-03-02,Peru,2019-07-09,Peru,17,178,80,Defender
505,Miguel Araujo,1994-10-24,Peru,2014-11-01,Peru,5,178,71,Defender
506,Miguel Trauco,1992-08-25,Peru,2019-08-06,Peru,13,175,65,Defender
507,Nilson Loyola,1994-10-26,Peru,2016-09-01,Peru,Unknown,175,64,Defender
508,Yoshimar Yotun,1990-04-07,Peru,2011-02-01,Peru,Unknown,171,66,Defender
509,Andre Carrillo,1991-06-14,Peru,2011-06-28,Peru,Unknown,182,75,Forward
510,Andy Polo,1994-09-29,Peru,2016-03-01,Peru,Unknown,175,70,Forward
511,Paolo Guerrero,1984-01-01,Peru,2004-01-01,Peru,Unknown,185,82,Forward
512,Raul Ruidiaz,1990-07-25,Peru,2011-06-01,Peru,Unknown,169,65,Forward
513,Carlos Caceda,1991-09-27,Peru,2016-05-01,Peru,Unknown,183,80,Goalkeeper
514,Jose Carvallo,1986-03-16,Peru,2007-09-01,Peru,Unknown,180,82,Goalkeeper
515,Pedro Gallese,1990-02-23,Peru,2014-05-23,Peru,Unknown,189,79,Goalkeeper
516,Anderson Santamaria,1992-01-10,Peru,2016-09-01,Peru,Unknown,184,82,Midfielder
517,Christian Cueva,1991-11-23,Peru,2011-06-01,Peru,Unknown,169,61,Midfielder
518,Edison Flores,1994-05-14,Peru,2013-08-01,Peru,Unknown,170,70,Midfielder
519,Jefferson Farfan,1984-10-26,Peru,2017-01-29,Peru,8,178,84,Midfielder
520,Paolo Hurtado,1990-07-27,Peru,2011-09-01,Peru,7,177,67,Midfielder
521,Pedro Aquino,1995-04-13,Peru,2016-09-01,Peru,Unknown,175,68,Midfielder
522,Renato Tapia,1995-07-28,Peru,2020-08-04,Peru,14,185,78,Midfielder
523,Wilder Cartagena,1994-09-23,Peru,2016-11-01,Peru,Unknown,180,72,Midfielder
524,Alan Matturro,2004-10-11,Uruguay,2022-05-25,Uruguay,Unknown,0,0,Defender
525,Damian Suarez,1988-04-27,Uruguay,2015-07-08,Uruguay,22,172,61,Defender
526,Diego Godin,1986-02-16,Uruguay,2005-01-01,Uruguay,Unknown,187,78,Defender
527,Guillermo Varela,1993-03-24,Uruguay,2016-03-16,Uruguay,Unknown,173,70,Defender
528,Jose Gimenez,1995-01-20,Uruguay,2013-07-01,Uruguay,2,185,80,Defender
529,Martin Caceres,1987-04-07,Uruguay,2007-10-01,Uruguay,Unknown,180,78,Defender
530,Mathias Olivera,1997-10-31,Uruguay,2022-07-01,Uruguay,17,184,78,Defender
531,Matias Vina,1997-11-09,Uruguay,2021-08-08,Uruguay,5,181,70,Defender
532,Ronald Araujo,1999-03-07,Uruguay,2019-07-20,Uruguay,4,188,79,Defender
533,Sebastian Coates,1990-10-07,Uruguay,2017-02-02,Uruguay,4,196,94,Defender
534,Agustin Canobbio,1998-10-01,Uruguay,2022-01-25,Uruguay,Unknown,175,72,Forward
535,Darwin Nunez,1999-06-24,Uruguay,2022-06-14,Uruguay,27,187,78,Forward
536,Diego Rossi,1998-03-05,Uruguay,2020-10-05,Uruguay,Unknown,170,65,Forward
537,Edinson Cavani,1987-02-14,Uruguay,2022-08-29,Uruguay,7,184,71,Forward
538,Maxi Gomez,1996-08-14,Uruguay,2017-09-15,Uruguay,Unknown,186,91,Forward
539,Fernando Muslera,1986-06-16,Uruguay,2007-06-12,Uruguay,Unknown,190,84,Goalkeeper
540,Sebastian Sosa,1986-08-19,Uruguay,2022-01-01,Uruguay,Unknown,180,72,Goalkeeper
541,Sergio Rochet,1993-03-23,Uruguay,2021-05-28,Uruguay,Unknown,190,82,Goalkeeper
542,Augusto Scarone,2004-06-03,Uruguay,2022-05-25,Uruguay,Unknown,0,0,Midfielder
543,Facundo Pellistri,2001-12-20,Uruguay,2020-10-05,Uruguay,28,175,69,Midfielder
544,Federico Valverde,1998-07-22,Uruguay,2018-07-02,Uruguay,15,182,78,Midfielder
545,Fernando Gorriaran,1994-11-27,Uruguay,2021-05-14,Uruguay,Unknown,168,68,Midfielder
546,Giorgian de Arrascaeta,1994-06-01,Uruguay,2014-08-21,Uruguay,Unknown,173,73,Midfielder
547,Lucas Torreira,1996-02-11,Uruguay,2018-03-04,Uruguay,Unknown,166,65,Midfielder
548,Manuel Ugarte,2001-04-11,Uruguay,2021-08-09,Uruguay,15,182,77,Midfielder
549,Matias Vecino,1991-08-24,Uruguay,2022-08-01,Uruguay,5,187,81,Midfielder
550,Mauro Arambarri,1995-09-30,Uruguay,2018-07-01,Uruguay,18,175,74,Midfielder
551,Nicolas De La Cruz,1997-06-01,Uruguay,2020-03-05,Uruguay,Unknown,167,70,Midfielder
552,Bryan Oviedo,1990-02-18,Costa Rica,2010-01-01,Costa Rica,Unknown,172,60,Defender
553,Carlos Martinez,1999-03-30,Costa Rica,2022-03-18,Costa Rica,Unknown,0,0,Defender
554,Carlos Mora,2001-03-18,Costa Rica,2022-03-18,Costa Rica,Unknown,0,0,Defender
555,Francisco Calvo,1992-07-08,Costa Rica,2011-06-01,Costa Rica,Unknown,180,80,Defender
556,Ian Lawrence,2002-05-28,Costa Rica,2022-03-18,Costa Rica,Unknown,0,0,Defender
557,Juan Pablo Vargas,1995-06-06,Costa Rica,2017-06-05,Costa Rica,Unknown,192,88,Defender
558,Kendall Waston,1988-01-01,Costa Rica,2013-01-01,Costa Rica,Unknown,196,89,Defender
559,Keysher Fuller,1994-07-12,Costa Rica,2019-01-18,Costa Rica,Unknown,183,78,Defender
560,Orlando Galo,2000-08-11,Costa Rica,2021-10-05,Costa Rica,Unknown,0,0,Defender
561,Oscar Duarte,1989-06-03,Costa Rica,2010-07-01,Costa Rica,Unknown,186,81,Defender
562,Anthony Contreras,2000-01-29,Costa Rica,2021-11-06,Costa Rica,Unknown,180,72,Forward
563,Bryan Ruiz,1985-08-18,Costa Rica,2005-01-01,Costa Rica,Unknown,188,78,Forward
564,Jewison Bennette,2004-06-15,Costa Rica,2021-08-14,Costa Rica,Unknown,0,0,Forward
565,Joel Campbell,1992-06-26,Costa Rica,2011-06-01,Costa Rica,Unknown,178,71,Forward
566,Aaron Cruz,1991-05-25,Costa Rica,2017-06-05,Costa Rica,Unknown,181,0,Goalkeeper
567,Keylor Navas,1986-12-15,Costa Rica,2019-09-02,Costa Rica,1,185,80,Goalkeeper
568,Leonel Moreira,1990-04-02,Costa Rica,2011-06-01,Costa Rica,Unknown,179,71,Goalkeeper
569,Brandon Aguilera,2003-06-28,Costa Rica,2022-03-18,Costa Rica,Unknown,0,0,Midfielder
570,Celso Borges,1988-05-27,Costa Rica,2008-01-01,Costa Rica,Unknown,182,79,Midfielder
571,Daniel Chacon,2001-04-11,Costa Rica,2022-01-21,Costa Rica,Unknown,183,69,Midfielder
572,Gerson Torres,1997-08-28,Costa Rica,2021-05-25,Costa Rica,Unknown,176,71,Midfielder
573,Johan Venegas,1988-11-27,Costa Rica,2014-11-01,Costa Rica,Unknown,183,76,Midfielder
574,Yeltsin Tejeda,1992-03-17,Costa Rica,2011-01-01,Costa Rica,Unknown,179,71,Midfielder
575,Hong Chul,1990-09-17,Korea Republic,2011-02-01,Korea Republic,14,176,67,Defender
576,Kim Jin-Su,1992-06-13,Korea Republic,2013-10-01,Korea Republic,3,177,70,Defender
577,Kim Ju-Sung,2000-12-12,Korea Republic,2022-07-11,Korea Republic,24,186,76,Defender
578,Kim Moon-Hwan,1995-08-01,Korea Republic,2018-08-27,Korea Republic,15,172,64,Defender
579,Kim Young-Gwon,1990-02-27,Korea Republic,2010-08-01,Korea Republic,19,186,74,Defender
580,Kwon Kyung-Won,1992-01-31,Korea Republic,2017-08-28,Korea Republic,20,189,86,Defender
581,Lee Jae-Ik,1999-05-21,Korea Republic,2022-03-14,Korea Republic,19,185,78,Defender
582,Park Ji-Soo,1994-06-13,Korea Republic,2018-10-01,Korea Republic,18,187,73,Defender
583,Yoon Jong-Gyu,1998-03-20,Korea Republic,2020-10-02,Korea Republic,2,173,65,Defender
584,Cho Gue-Sung,1998-01-25,Korea Republic,2021-08-23,Korea Republic,9,185,70,Forward
585,Cho Young-Wook,1999-02-05,Korea Republic,2018-12-13,Korea Republic,17,178,73,Forward
586,Kang Seong-Jin,2003-03-26,Korea Republic,2022-07-11,Korea Republic,26,178,76,Forward
587,Song Min-Kyu,1999-09-12,Korea Republic,2021-05-24,Korea Republic,13,179,72,Forward
588,Cho Hyun-Woo,1991-09-25,Korea Republic,2017-05-20,Korea Republic,21,189,73,Goalkeeper
589,Kim Dong-Jun,1994-12-19,Korea Republic,2017-03-20,Korea Republic,1,189,85,Goalkeeper
590,Song Bum-Keun,1997-10-15,Korea Republic,2018-09-02,Korea Republic,12,194,88,Goalkeeper
591,Cho Yu-Min,1996-11-17,Korea Republic,2022-05-23,Korea Republic,4,182,79,Midfielder
592,Goh Young-Jun,2001-07-09,Korea Republic,2022-07-11,Korea Republic,23,168,73,Midfielder
593,Hwang In-Beom,1996-09-20,Korea Republic,2018-08-27,Korea Republic,6,177,70,Midfielder
594,Kim Dong-Hyun,1997-06-11,Korea Republic,2022-05-23,Korea Republic,16,182,72,Midfielder
595,Kim Jin-Kyu,1997-02-24,Korea Republic,2021-12-28,Korea Republic,10,177,68,Midfielder
596,Kwon Chang-Hoon,1994-06-30,Korea Republic,2014-12-04,Korea Republic,22,174,71,Midfielder
597,Lee Gi-Hyuk,2000-07-07,Korea Republic,2022-07-11,Korea Republic,25,184,76,Midfielder
598,Lee Yeong-Jae,1994-09-13,Korea Republic,2019-12-05,Korea Republic,5,175,66,Midfielder
599,Na Sang-Ho,1996-08-12,Korea Republic,2018-11-13,Korea Republic,7,173,70,Midfielder
600,Paik Seung-Ho,1997-03-17,Korea Republic,2019-03-14,Korea Republic,8,182,73,Midfielder
601,Um Won-Sang,1999-01-06,Korea Republic,2020-11-02,Korea Republic,11,171,60,Midfielder
602,Abolfazl Jalali,1998-06-26,Iran,2021-03-21,Iran,Unknown,177,0,Defender
603,Aref Aghasi,1997-01-02,Iran,2021-03-21,Iran,Unknown,188,88,Defender
604,Aref Gholami,1997-04-19,Iran,2020-10-03,Iran,Unknown,183,0,Defender
605,Armin Sohrabian,1995-07-26,Iran,2018-09-01,Iran,Unknown,181,0,Defender
606,Majid Hosseini,1996-06-20,Iran,2018-05-12,Iran,Unknown,187,78,Defender
607,Omid Noorafkan,1997-04-09,Iran,2017-08-27,Iran,Unknown,181,78,Defender
608,Sadegh Moharrami,1996-03-01,Iran,2018-07-01,Iran,2,174,71,Defender
609,Saleh Hardani,1998-09-14,Iran,2021-08-30,Iran,Unknown,176,0,Defender
610,Ali Alipour,1995-11-11,Iran,2018-03-14,Iran,Unknown,181,70,Forward
611,Allahyar Sayyad,2001-06-29,Iran,2019-05-30,Iran,Unknown,182,76,Forward
612,Amirhossein Hosseinzadeh,2000-10-30,Iran,2022-03-18,Iran,Unknown,179,80,Forward
613,Mehdi Taremi,1992-07-18,Iran,2020-08-31,Iran,9,187,79,Forward
614,Saeid Sadeghi,1994-04-25,Iran,2022-06-01,Iran,Unknown,180,0,Forward
615,Sardar Azmoun,1995-01-01,Iran,2022-01-30,Iran,9,186,78,Forward
616,Alireza Beiranvand,1992-09-21,Iran,2014-11-17,Iran,Unknown,196,85,Goalkeeper
617,Amir Abedzadeh,1993-04-26,Iran,2017-11-08,Iran,Unknown,186,80,Goalkeeper
618,Payam Niazmand,1995-04-06,Iran,2018-12-26,Iran,Unknown,193,82,Goalkeeper
619,Seyed Hossein Hosseini,1992-06-30,Iran,2018-03-14,Iran,Unknown,185,80,Goalkeeper
620,Ahmad Noorollahi,1993-02-01,Iran,2018-10-14,Iran,Unknown,179,73,Midfielder
621,Ali Gholizadeh,1996-03-10,Iran,2018-03-14,Iran,Unknown,176,72,Midfielder
622,Alireza Jahanbakhsh,1993-08-11,Iran,2013-10-05,Iran,Unknown,180,76,Midfielder
623,Ehsan Haji Safi,1990-02-25,Iran,2008-05-25,Iran,Unknown,178,75,Midfielder
624,Mehdi Mehdipour,1994-02-18,Iran,2022-02-18,Iran,Unknown,0,0,Midfielder
625,Mehdi Shiri,1991-01-31,Iran,2020-11-11,Iran,Unknown,176,0,Midfielder
626,Mehdi Torabi,1994-09-10,Iran,2015-06-01,Iran,Unknown,185,71,Midfielder
627,Milad Sarlak,1995-03-26,Iran,2021-08-30,Iran,Unknown,181,78,Midfielder
628,Omid Ebrahimi,1987-02-27,Iran,2012-12-07,Iran,Unknown,178,75,Midfielder
629,Saeid Ezatolahi,1996-10-01,Iran,2015-06-09,Iran,Unknown,190,78,Midfielder
630,Seyed Mehdi Hosseini,1993-09-16,Iran,2022-06-01,Iran,Unknown,0,0,Midfielder
631,Soroush Rafiei,1990-03-24,Iran,2014-12-01,Iran,Unknown,175,0,Midfielder
632,Achraf Dari,1999-05-06,Morocco,2022-07-29,Morocco,4,188,0,Defender
633,Achraf Hakimi,1998-11-04,Morocco,2021-06-06,Morocco,2,181,73,Defender
634,Adam Masina,1994-01-02,Morocco,2022-07-18,Morocco,3,189,78,Defender
635,Jawad El Yamiq,1992-02-29,Morocco,2020-09-24,Morocco,15,190,83,Defender
636,Mohamed Chibi,1993-01-21,Morocco,2021-11-28,Morocco,25,185,0,Defender
637,Nayef Aguerd,1996-03-30,Morocco,2022-06-21,Morocco,27,188,76,Defender
638,Noussair Mazraoui,1997-11-14,Morocco,2022-07-01,Morocco,40,183,63,Defender
639,Samy Mmaee,1996-09-08,Morocco,2021-12-23,Morocco,23,185,82,Defender
640,Sofian Chakla,1993-09-02,Morocco,2020-10-01,Morocco,Unknown,188,77,Defender
641,Sofiane Alakouch,1998-07-29,Morocco,2017-08-25,Morocco,20,175,66,Defender
642,Yahia Attiyat Allah,1995-03-02,Morocco,2022-03-17,Morocco,7,176,0,Defender
643,Ayoub El Kaabi,1993-06-25,Morocco,2018-03-13,Morocco,17,182,72,Forward
644,Munir El Haddadi,1995-09-01,Morocco,2022-08-31,Morocco,17,175,69,Forward
645,Soufiane Rahimi,1996-06-02,Morocco,2020-11-05,Morocco,21,180,76,Forward
646,Tarik Tissoudali,1993-04-02,Morocco,2021-12-31,Morocco,9,182,70,Forward
647,Youssef En-Nesyri,1997-06-01,Morocco,2020-01-16,Morocco,15,189,73,Forward
648,Zakaria Aboukhlal,2000-02-18,Morocco,2022-07-01,Morocco,6,179,74,Forward
649,Anas Zniti,1988-08-29,Morocco,2012-12-26,Morocco,22,190,0,Goalkeeper
650,Bono,1991-04-05,Morocco,2020-09-04,Morocco,13,192,78,Goalkeeper
651,Munir Mohamedi,1989-05-10,Morocco,2015-03-11,Morocco,12,190,89,Goalkeeper
652,Adel Taarabt,1989-05-24,Morocco,2010-11-01,Morocco,Unknown,185,77,Midfielder
653,Amine Harit,1997-06-18,Morocco,2022-09-01,Morocco,77,180,67,Midfielder
654,Aymen Barkok,1998-05-21,Morocco,2022-07-01,Morocco,4,189,82,Midfielder
655,Azz-Eddine Ounahi,2000-04-19,Morocco,2021-07-14,Morocco,8,182,0,Midfielder
656,Faycal Fajr,1988-08-01,Morocco,2015-11-01,Morocco,11,178,72,Midfielder
657,Ilias Chair,1997-10-30,Morocco,2021-05-27,Morocco,13,158,53,Midfielder
658,Romain Saiss,1990-03-26,Morocco,2012-11-13,Morocco,6,190,80,Midfielder
659,Selim Amallah,1996-11-15,Morocco,2019-10-03,Morocco,15,186,82,Midfielder
660,Sofyan Amrabat,1996-08-21,Morocco,2020-01-31,Morocco,34,185,70,Midfielder
661,Yahya Jabrane,1991-06-18,Morocco,2019-11-07,Morocco,Unknown,183,0,Midfielder
662,Abdullahi Shehu,1993-03-12,Nigeria,2014-03-01,Nigeria,Unknown,181,72,Defender
663,Brian Idowu,1992-05-18,Nigeria,2018-07-10,Nigeria,3,179,76,Defender
664,Chidozie Awaziem,1997-01-01,Nigeria,2019-08-15,Nigeria,12,189,78,Defender
665,Elderson Echiejile,1988-01-20,Nigeria,2008-05-01,Nigeria,3,184,76,Defender
666,Kenneth Omeruo,1993-10-17,Nigeria,2019-08-13,Nigeria,4,185,81,Defender
667,Leon Balogun,1988-06-28,Nigeria,2018-07-01,Nigeria,14,190,88,Defender
668,Tyronne Ebuehi,1995-12-16,Nigeria,2022-07-05,Nigeria,24,187,76,Defender
669,Victor Moses,1990-12-12,Nigeria,2012-08-24,Nigeria,15,177,79,Defender
670,William Troost-Ekong,1993-09-01,Nigeria,2020-09-29,Nigeria,5,191,82,Defender
671,Ahmed Musa,1992-10-14,Nigeria,2013-01-01,Nigeria,Unknown,171,66,Forward
672,Alex Iwobi,1996-05-03,Nigeria,2019-08-08,Nigeria,17,180,75,Forward
673,Kelechi Iheanacho,1996-10-03,Nigeria,2017-08-03,Nigeria,14,185,82,Forward
674,Odion Ighalo,1989-06-16,Nigeria,2020-01-31,Nigeria,25,181,73,Forward
675,Simy,1992-05-07,Nigeria,2022-01-03,Nigeria,25,198,84,Forward
676,Daniel Akpeyi,1986-03-08,Nigeria,2014-01-01,Nigeria,Unknown,186,80,Goalkeeper
677,Francis Uzoho,1998-10-28,Nigeria,2017-11-01,Nigeria,23,196,91,Goalkeeper
678,Ikechukwu Ezenwa,1988-10-16,Nigeria,2016-05-24,Nigeria,Unknown,185,80,Goalkeeper
679,Joel Obi,1991-05-22,Nigeria,2021-07-21,Nigeria,22,176,71,Midfielder
680,John Obi Mikel,1987-04-22,Nigeria,2005-08-01,Nigeria,10,188,83,Midfielder
681,Johan Ogu,1988-04-20,Nigeria,2013-03-01,Nigeria,19,192,84,Midfielder
682,Ogenyi Onazi,1992-12-25,Nigeria,2012-01-01,Nigeria,Unknown,173,73,Midfielder
683,Oghenekaro Etebo,1995-11-09,Nigeria,2021-07-09,Nigeria,4,172,70,Midfielder
684,Wilfred Ndidi,1996-12-16,Nigeria,2017-01-03,Nigeria,25,183,74,Midfielder
685,Alaa Ghram,2001-07-24,Tunisia,2022-05-27,Tunisia,24,0,0,Defender
686,Ali El Abdi,1993-12-20,Tunisia,2018-11-06,Tunisia,4,183,73,Defender
687,Ali Maaloul,1990-01-01,Tunisia,2014-01-01,Tunisia,12,175,72,Defender
688,Bilel Ifa,1990-03-09,Tunisia,2009-12-01,Tunisia,2,185,77,Defender
689,Mohamed Draeger,1996-06-25,Tunisia,2018-11-06,Tunisia,20,180,74,Defender
690,Montassar Talbi,1998-05-26,Tunisia,2022-07-18,Tunisia,3,190,0,Defender
691,Rami Kaib,1997-05-08,Tunisia,2022-05-27,Tunisia,21,178,63,Defender
692,Issam Jebali,1991-12-25,Tunisia,2018-10-04,Tunisia,17,186,84,Forward
693,Seifeddine Jaziri,1993-02-11,Tunisia,2020-10-01,Tunisia,19,180,0,Forward
694,Taha Khenissi,1992-01-06,Tunisia,2015-11-09,Tunisia,11,180,77,Forward
695,Youssef Msakni,1990-10-28,Tunisia,2009-12-01,Tunisia,7,175,73,Forward
696,Aymen Dahmen,1997-01-28,Tunisia,2018-11-10,Tunisia,16,0,0,Goalkeeper
697,Bechir Ben Said,1992-11-29,Tunisia,2020-10-01,Tunisia,22,188,0,Goalkeeper
698,Sedki Debchi,1999-10-28,Tunisia,2022-05-27,Tunisia,1,196,0,Goalkeeper
699,Adam Ben Lamin,2001-06-02,Tunisia,2019-10-01,Tunisia,5,184,0,Midfielder
700,Aissa Bilal Laidouni,1996-12-13,Tunisia,2021-03-18,Tunisia,14,179,75,Midfielder
701,Anis Ben Slimane,2001-03-16,Tunisia,2020-10-01,Tunisia,8,186,86,Midfielder
702,Ferjani Sassi,1992-03-18,Tunisia,2013-01-01,Tunisia,13,186,80,Midfielder
703,Firas Ben Alarbi,1996-05-27,Tunisia,2022-05-27,Tunisia,9,180,80,Midfielder
704,Hannibal Mejbri,2003-01-21,Tunisia,2021-05-28,Tunisia,10,177,0,Midfielder
705,Mohamed Ali Ben Romdhane,1999-09-06,Tunisia,2019-11-08,Tunisia,15,182,0,Midfielder
706,Mootez Zaddem,2001-01-05,Tunisia,2021-03-18,Tunisia,Unknown,0,0,Midfielder
707,Nader Ghandri,1995-02-18,Tunisia,2019-06-02,Tunisia,6,194,88,Midfielder
708,Naim Sliti,1992-07-27,Tunisia,2016-11-03,Tunisia,23,173,78,Midfielder
709,Ahmed El Mohamady,1987-09-09,Egypt,2017-07-19,Egypt,27,183,75,Defender
710,Ahmed Fathy,1984-11-10,Egypt,2016-12-01,Egypt,Unknown,175,72,Defender
711,Ahmed Hegazi,1991-01-25,Egypt,2017-12-18,Egypt,26,193,83,Defender
712,Ali Gabr,1989-01-01,Egypt,2014-05-22,Egypt,Unknown,193,86,Defender
713,Ayman Ashraf,1991-04-09,Egypt,2015-11-10,Egypt,Unknown,175,67,Defender
714,Mahmoud Hamdi,1995-06-01,Egypt,2017-05-31,Egypt,Unknown,173,72,Defender
715,Mohamed Shafy,1985-07-01,Egypt,2010-01-01,Egypt,13,175,77,Defender
716,Omar Gaber,1992-01-30,Egypt,2011-09-02,Egypt,Unknown,173,72,Defender
717,Saad Samir,1989-04-01,Egypt,2014-10-09,Egypt,20,185,78,Defender
718,Kahraba,1994-04-13,Egypt,2013-06-01,Egypt,Unknown,182,76,Forward
719,Marwan Mohsen,1989-02-26,Egypt,2011-09-02,Egypt,9,187,82,Forward
720,Mohamed Salah,1992-06-15,Egypt,2017-07-01,Egypt,11,175,71,Forward
721,Essam El Hadary,1973-01-15,Egypt,1996-01-01,Egypt,1,188,84,Goalkeeper
